as_of,asset_id,horizon,horizon_days,target_date,status,point_pct,actual_pct,abs_err,signed_err,low_pct,high_pct,in_band,p_up,direction_hit,brier,protocol_version,model_id,day_type,confidence,horizon_kind,paired_gain_pp,baseline_naive_pct,baseline_drift_pct,baseline_momentum_pct,beat_naive,beat_drift,beat_momentum,beat_all_three
2026-08-07,A3,1d,1,2026-08-10,resolved,0.0,0.396,0.396,-0.396,-1.6,1.6,1,0.49,0,0.2601,2,model_A,data,low,forecast,0.0,0.0,0.982,-0.453,False,True,True,False
2026-08-07,A4,1d,1,2026-08-10,resolved,1.0,1.836,0.836,-0.836,-0.2,2.3,1,0.82,1,0.0324,2,model_A,data,medium,forecast,1.0,0.0,1.34,0.904,True,False,True,False
2026-08-07,A5,1d,1,2026-08-10,resolved,-0.1,-0.046,0.054,-0.054,-1.2,1.0,1,0.46,,,2,model_A,data,medium,forecast,-0.008,0.0,1.048,0.42,False,True,True,False
2026-08-08,A1,1d,1,2026-08-10,resolved,0.2,0.163,0.037,0.037,-1.5,2.0,1,0.55,1,0.2025,2,model_A,weekend,medium,forecast,0.126,0.0,1.559,1.197,True,True,True,True
2026-08-08,A2,1d,1,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-08,A3,1d,1,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-08,A4,1d,1,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-08,A5,1d,1,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-09,A1,1d,1,2026-08-10,resolved,0.25,0.163,0.087,0.087,-1.5,2.0,1,0.56,1,0.1936,2,model_A,weekend,medium,forecast,0.076,0.0,1.559,1.197,True,True,True,True
2026-08-09,A2,1d,1,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-09,A3,1d,1,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-09,A4,1d,1,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-09,A5,1d,1,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-07,A6,1d,1,2026-08-10,resolved,0.1,0.033,0.067,0.067,-0.2,0.45,1,0.62,,,2,model_A,data,medium,forecast,-0.034,0.0,0.082,0.228,False,False,True,False
2026-08-08,A6,1d,1,2026-08-10,resolved,0.08,0.053,0.027,0.027,-0.15,0.35,1,0.6,1,0.16,2,model_A,weekend,medium,forecast,0.026,0.0,0.082,0.228,True,True,True,True
2026-08-09,A6,1d,1,2026-08-10,resolved,0.08,0.053,0.027,0.027,-0.15,0.35,1,0.6,1,0.16,2,model_A,weekend,medium,forecast,0.026,0.0,0.082,0.228,True,True,True,True
2026-08-04,A1,1w,7,2026-08-11,resolved,0.3,8.084,7.784,-7.784,-4.5,5.5,0,0.52,1,0.2304,1,model_A,calm,low,forecast,0.3,0.0,1.098,1.098,True,False,False,False
2026-08-04,A4,1w,7,2026-08-11,resolved,0.3,8.292,7.992,-7.992,-5.0,5.5,0,0.52,1,0.2304,1,model_A,calm,low,forecast,0.3,0.0,-0.285,-0.285,True,True,True,True
2026-08-04,A2,1w,7,2026-08-11,resolved,0.5,6.351,5.851,-5.851,-5.5,6.5,1,0.53,1,0.2209,1,model_A,calm,low,forecast,0.5,0.0,3.27,3.27,True,False,False,False
2026-08-04,A6,1w,7,2026-08-11,resolved,0.42,0.37,0.05,0.05,-0.3,1.2,1,0.65,1,0.1225,1,model_A,calm,medium,forecast,0.32,0.0,0.157,0.157,True,True,True,True
2026-08-10,A1,1d,1,2026-08-11,resolved,0.3,0.62,0.32,-0.32,-1.4,2.1,1,0.57,1,0.1849,3,model_A,calm,low,forecast,0.3,0.0,1.49,1.212,True,True,True,True
2026-08-10,A6,1d,1,2026-08-11,resolved,0.08,0.039,0.041,0.041,-0.2,0.4,1,0.6,,,3,model_A,calm,medium,forecast,-0.002,0.0,0.072,0.033,False,False,False,False
2026-08-10,A2,1d,1,2026-08-11,resolved,0.6,0.759,0.159,-0.159,-1.8,3.2,1,0.62,1,0.1444,3,model_A,calm,low,forecast,0.6,0.0,1.232,0.998,True,True,True,True
2026-08-10,A4,1d,1,2026-08-11,resolved,0.3,0.79,0.49,-0.49,-1.8,2.6,1,0.55,1,0.2025,3,model_A,calm,low,forecast,0.3,0.0,1.439,1.836,True,True,True,True
2026-08-10,A5,1d,1,2026-08-11,resolved,0.0,0.485,0.485,-0.485,-1.8,1.8,1,0.5,0,0.25,3,model_A,calm,low,forecast,0.0,0.0,0.683,-0.046,False,False,True,False
2026-08-05,A2,1w,7,2026-08-12,resolved,1.0,1.651,0.651,-0.651,-6.0,8.0,1,0.55,1,0.2025,1,model_A,calm,low,forecast,1.0,0.0,12.48,21.689,True,True,True,True
2026-08-05,A1,1w,7,2026-08-12,resolved,0.5,5.901,5.401,-5.401,-4.5,5.5,0,0.52,1,0.2304,1,model_A,calm,low,forecast,0.5,0.0,7.559,14.019,True,False,True,False
2026-08-05,A3,1w,7,2026-08-12,resolved,0.8,1.599,0.799,-0.799,-5.0,6.5,1,0.55,1,0.2025,1,model_A,calm,low,forecast,0.8,0.0,8.219,14.225,True,True,True,True
2026-08-05,A4,1w,7,2026-08-12,resolved,0.6,8.07,7.47,-7.47,-5.0,6.0,0,0.53,1,0.2209,1,model_A,calm,low,forecast,0.6,0.0,3.897,8.08,True,False,False,False
2026-08-05,A5,1w,7,2026-08-12,resolved,0.5,2.39,1.89,-1.89,-5.5,6.5,1,0.52,1,0.2304,1,model_A,calm,low,forecast,0.5,0.0,,,True,,,
